               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12103,            0.029792,                   0,           0.0030306,            0.010417,          0.00011969,          1.7445e-05,             0.10405,            0.029619,                   0,             0.00017,             0.00017,             0.09847
                   1,             0.10322,            0.028999,                   0,           0.0011852,             0.09375,          0.00077757,          0.00013942,            0.085747,             0.03105,                   0,          0.00034992,          0.00034992,             0.09685
                   2,            0.094326,            0.027968,                   0,           0.0028489,              0.1875,           0.0022269,          0.00043052,            0.073719,            0.032522,                   0,          0.00052953,          0.00052953,             0.09523
                   3,            0.082257,            0.028431,                   0,            0.027588,             0.30208,            0.018927,           0.0036181,            0.061208,            0.033791,                   0,          0.00070858,          0.00070858,            0.093609
                   4,            0.071231,            0.029385,                   0,             0.28126,             0.47917,             0.23478,            0.041041,            0.055869,            0.031241,                   0,          0.00088684,          0.00088684,            0.091987
                   5,            0.062427,            0.027787,                   0,             0.42813,             0.84224,             0.46242,             0.11512,            0.048977,            0.028331,                   0,           0.0010641,           0.0010641,            0.090364
                   6,            0.056274,            0.028127,                   0,             0.79479,             0.96875,              0.9488,             0.41852,            0.044627,            0.022952,                   0,             0.00124,             0.00124,             0.08874
                   7,            0.052165,            0.022965,                   0,             0.97885,             0.96875,             0.98586,             0.28764,            0.038607,            0.019866,                   0,           0.0014145,           0.0014145,            0.087115
                   8,            0.048428,            0.020096,                   0,             0.89096,             0.93631,             0.94892,             0.35857,             0.04289,            0.016783,                   0,           0.0015872,           0.0015872,            0.085487
                   9,            0.056898,            0.016794,                   0,             0.76658,             0.82292,             0.85919,             0.50952,            0.063606,            0.015097,                   0,            0.001758,            0.001758,            0.083858
                  10,            0.054327,             0.01809,                   0,             0.97916,             0.97883,             0.98997,             0.65261,             0.04612,            0.016413,                   0,           0.0019266,           0.0019266,            0.082227
